study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	unit	comments
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	32.0413461908339	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	33.0749418190925	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	33.0749418190925	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	7.0	day	35.1421133614127	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	6.20155405535445	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	7.23514968361301	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	7.23514968361301	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	8.26874531187157	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	10.8527245254195	NA	NA	ng/ml	individual data
FDAGBDO	modH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_modH_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.0	day	0.0	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.5	day	14.9870873242568	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.5	day	24.2894085501901	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	0.5	day	31.0077505625754	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	1.0	day	32.0413461908339	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	1.0	day	48.0620094291525	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	1.0	day	48.0620094291525	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	2.0	day	49.095605057411	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	2.0	day	55.2971591127655	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	2.0	day	69.2506508087638	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	3.0	day	53.7467755274761	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	3.0	day	57.3643503692826	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	3.0	day	75.4522048641183	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	4.0	day	47.0284335150908	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	4.0	day	51.1627963139281	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	4.0	day	66.6666715952158	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	7.0	day	37.2093046179298	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	7.0	day	33.5917297761233	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	7.0	day	30.4909626055445	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	14.0	day	9.81912889716096	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	14.0	day	11.3695124824503	NA	NA	ng/ml	individual data
FDAGBDO	sevH	1.0	DUL15	concentration	dulaglutide	plasma	NR	dulaglutide_sevH_individual	14.0	day	12.4031081107089	NA	NA	ng/ml	individual data
